esto_flow_code,esto_flow_name,esto_flow,measured_in_dashboard,treatment,notes
01,Production,01 Production,FALSE,supply_not_consumption,"Production is a supply source, not fuel consumption; including it would duplicate downstream combustion."
02,Imports,02 Imports,FALSE,supply_not_consumption,Imports change fuel availability but are not domestic combustion.
03,Exports,03 Exports,FALSE,outside_domestic_consumption,Exports leave the economy and are not domestic combustion.
04,International marine bunkers,04 International marine bunkers,FALSE,international_bunkers_outside_boundary,International bunker fuel is outside the dashboard domestic-combustion boundary and should be reported separately.
05,International aviation bunkers,05 International aviation bunkers,FALSE,international_bunkers_outside_boundary,International bunker fuel is outside the dashboard domestic-combustion boundary and should be reported separately.
06,Stock changes,06 Stock changes,FALSE,stock_accounting,"Stock changes are inventory movements, not combustion."
07,Total primary energy supply,07 Total primary energy supply,FALSE,aggregate_supply,Total primary energy supply is an aggregate balance row and would duplicate downstream use.
08,Transfers,08 Transfers,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
08.01,Recycled products,08.01 Recycled products,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
08.02,Interproduct transfers,08.02 Interproduct transfers,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
08.03,Products transferred,08.03 Products transferred,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
08.04,Gas separation,08.04 Gas separation,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
08.99,Transfers nonspecified,08.99 Transfers nonspecified,FALSE,transfer_not_consumption,Transfers reclassify or move energy products; they do not represent fuel combustion.
09,Total transformation sector,09 Total transformation sector,FALSE,mixed_transformation_aggregate,"Total transformation mixes combustion inputs, conversion feedstocks, and outputs; use eligible detailed rows instead."
09.01,Main activity producer,09.01 Main activity producer,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.01.01,Electricity plants,09.01.01 Electricity plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.01.02,CHP plants,09.01.02 CHP plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.01.03,Heat plants,09.01.03 Heat plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.02,Autoproducers,09.02 Autoproducers,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.02.01,Electricity plants,09.02.01 Electricity plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.02.02,CHP plants,09.02.02 CHP plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.02.03,Heat plants,09.02.03 Heat plants,TRUE,power_generation_combustion,"Negative fuel inputs to electricity, CHP, and heat plants are treated as combustion; positive transformation outputs are excluded by sign."
09.03,Heat pumps,09.03 Heat pumps,FALSE,electricity_driven_conversion,Heat-pump energy conversion is not assigned direct fuel-combustion emissions; upstream electricity emissions are captured at generation.
09.04,Electric boilers,09.04 Electric boilers,FALSE,electricity_driven_conversion,Electric boilers do not combust fuel at this flow; upstream electricity emissions are captured at generation.
09.05,Chemical heat for electricity production,09.05 Chemical heat for electricity production,FALSE,recovered_heat_conversion,Chemical heat used for electricity production is not treated as direct fuel combustion at this flow.
09.06,Gas processing plants,09.06 Gas processing plants,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.01,Gas works plants,09.06.01 Gas works plants,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.02,Liquefaction/regasification plants,09.06.02 Liquefaction/regasification plants,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.02.01,Liquefaction,09.06.02.01 Liquefaction,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.02.02,Regasification,09.06.02.02 Regasification,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.03,Natural gas blending plants,09.06.03 Natural gas blending plants,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.06.04,Gas-to-liquids plants,09.06.04 Gas-to-liquids plants,FALSE,conversion_feedstock,"Gas processing, gas works, LNG liquefaction/regasification, blending, and gas-to-liquids inputs are conversion feedstocks, not combustion; auxiliary own use is recorded under 10.01."
09.07,Oil refineries,09.07 Oil refineries,FALSE,conversion_feedstock,Oil-refinery transformation inputs are conversion feedstocks whose energy reappears in outputs; refinery own-use combustion is recorded under 10.01.11.
09.08,Coal transformation,09.08 Coal transformation,FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.08.01,Coke ovens,09.08.01 Coke ovens,FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.08.02,Blast furnaces,09.08.02 Blast furnaces,FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.08.03,Patent fuel plants,09.08.03 Patent fuel plants,FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.08.04,BKB/PB plants,09.08.04 BKB/PB plants,FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.08.05,Liquefaction (coal to oil),09.08.05 Liquefaction (coal to oil),FALSE,conversion_feedstock,Coal-transformation inputs are conversion feedstocks; separately reported plant own use under 10.01 is the combustion boundary.
09.09,Petrochemical industry,09.09 Petrochemical industry,FALSE,conversion_feedstock,"Petrochemical transformation inputs are feedstocks or conversion inputs, not final combustion."
09.10,Biofuels processing,09.10 Biofuels processing,FALSE,conversion_feedstock,Biofuel-processing inputs are conversion feedstocks; combustion is counted when the resulting fuels are consumed.
09.11,Charcoal processing,09.11 Charcoal processing,FALSE,conversion_feedstock,Charcoal-processing inputs are conversion feedstocks; plant own use is counted separately when reported.
09.12,Non-specified transformation,09.12 Non-specified transformation,FALSE,unresolved_transformation,"Non-specified transformation can mix conversion and combustion, so it is excluded to avoid overstatement until disaggregated."
09.13,Hydrogen transformation,09.13 Hydrogen transformation,FALSE,conversion_feedstock,Hydrogen-production inputs are conversion feedstocks; auxiliary own-use combustion is recorded under 10.01.19.
09.13.01,Electrolysers,09.13.01 Electrolysers,FALSE,conversion_feedstock,Hydrogen-production inputs are conversion feedstocks; auxiliary own-use combustion is recorded under 10.01.19.
09.13.02,SMR wo CCS,09.13.02 SMR wo CCS,FALSE,conversion_feedstock,Hydrogen-production inputs are conversion feedstocks; auxiliary own-use combustion is recorded under 10.01.19.
09.13.03,SMR w CCS,09.13.03 SMR w CCS,FALSE,conversion_feedstock,Hydrogen-production inputs are conversion feedstocks; auxiliary own-use combustion is recorded under 10.01.19.
10,Losses & own use,10 Losses & own use,FALSE,mixed_losses_and_own_use_aggregate,The parent mixes own use with transmission/distribution losses; use detailed 10.01 rows only.
10.01,Own Use,10.01 Own Use,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.01,"Electricity, CHP and heat plants","10.01.01 Electricity, CHP and heat plants",TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.02,Gas works plants,10.01.02 Gas works plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.03,Liquefaction/regasification plants,10.01.03 Liquefaction/regasification plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.04,Gas-to-liquids plants,10.01.04 Gas-to-liquids plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.05,Coke ovens,10.01.05 Coke ovens,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.06,Coal mines,10.01.06 Coal mines,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.07,Blast furnaces,10.01.07 Blast furnaces,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.08,Patent fuel plants,10.01.08 Patent fuel plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.09,BKB/PB plants,10.01.09 BKB/PB plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.10,Liquefaction plants (Coal to Oil),10.01.10 Liquefaction plants (Coal to Oil),TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.11,Oil refineries,10.01.11 Oil refineries,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.12,Oil and gas extraction,10.01.12 Oil and gas extraction,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.13,Pump storage plants,10.01.13 Pump storage plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.14,Nuclear industry,10.01.14 Nuclear industry,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.15,Charcoal production plants,10.01.15 Charcoal production plants,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.16,Gasification plants for biogases,10.01.16 Gasification plants for biogases,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.17,Non-specified own uses,10.01.17 Non-specified own uses,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.01.19,Hydrogen transformation,10.01.19 Hydrogen transformation,TRUE,energy_sector_own_use,Negative energy-sector own-use fuel is treated as auxiliary combustion; electricity and other zero-factor carriers remain zero through the factor table.
10.02,Transmission and distribution losses,10.02 Transmission and distribution losses,FALSE,network_loss_not_combustion,"Transmission and distribution losses are energy losses, not direct fuel combustion at the loss row."
11,Statistical discrepancy,11 Statistical discrepancy,FALSE,balancing_item,"Statistical discrepancy is a balance adjustment, not measured fuel combustion."
12,Total final consumption,12 Total final consumption,FALSE,mixed_final_consumption_aggregate,"Total final consumption includes non-energy use, so applying combustion factors would overstate emissions."
13,Total final energy consumption,13 Total final energy consumption,TRUE,final_energy_aggregate_fallback,Total final energy consumption excludes non-energy use and may be used only as a non-overlapping fallback when sector detail is unavailable.
14,Industry sector,14 Industry sector,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.01,Mining and quarrying,14.01 Mining and quarrying,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.02,Construction,14.02 Construction,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03,Manufacturing,14.03 Manufacturing,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.01,Iron and steel,14.03.01 Iron and steel,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.02,Chemical (incl. petrochemical),14.03.02 Chemical (incl. petrochemical),TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.03,Non ferrous metals,14.03.03 Non ferrous metals,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.04,Non-metallic mineral products,14.03.04 Non-metallic mineral products,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.05,Transportation equipment,14.03.05 Transportation equipment,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.06,Machinery,14.03.06 Machinery,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.07,"Food, beverages and tobacco","14.03.07 Food, beverages and tobacco",TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.08,"Pulp, paper and printing","14.03.08 Pulp, paper and printing",TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.09,Wood and wood products,14.03.09 Wood and wood products,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.10,Textiles and leather,14.03.10 Textiles and leather,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
14.03.11,Non-specified industry,14.03.11 Non-specified industry,TRUE,final_energy_combustion,Industry final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
15,Transport sector,15 Transport sector,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.01,Domestic air transport,15.01 Domestic air transport,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.02,Road,15.02 Road,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.03,Rail,15.03 Rail,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.04,Domestic navigation,15.04 Domestic navigation,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.05,Pipeline transport,15.05 Pipeline transport,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
15.06,Non-specified transport,15.06 Non-specified transport,TRUE,final_energy_combustion,Domestic transport final-energy use is within the combustion boundary; international bunkers are handled separately.
16,Other sector,16 Other sector,TRUE,final_energy_combustion,Other-sector final-energy use is within the combustion boundary; non-combustible carriers receive zero factors.
