sheet_name,fuel_label,sector_code_9th,projection_sector_code,ninth_fuel_code,esto_flow,esto_product,mapping_note,active
Nonspecified transport,Coal products nonspecified,15_06_nonspecified_transport,,02_coal_products,15.06 Non-specified transport,02 Coal products,Explicit override for shifted transport rows; do not infer from generic labels.,TRUE
Nonspecified transport,Diesel,15_06_nonspecified_transport,,07_07_gas_diesel_oil,15.06 Non-specified transport,07.07 Gas/diesel oil,Explicit override for LEAP label 'Diesel' in nonspecified transport.,TRUE
Nonspecified transport,Fuel oil,15_06_nonspecified_transport,,07_08_fuel_oil,15.06 Non-specified transport,07.08 Fuel oil,Explicit override for shifted transport rows; do not infer from generic labels.,TRUE
Nonspecified transport,Gasoline,15_06_nonspecified_transport,,07_01_motor_gasoline,15.06 Non-specified transport,07.01 Motor gasoline,Explicit override for LEAP label 'Gasoline' in nonspecified transport.,TRUE
Nonspecified transport,Kerosene,15_06_nonspecified_transport,,07_06_kerosene,15.06 Non-specified transport,07.06 Kerosene,Explicit override for shifted transport rows; do not infer from generic labels.,TRUE
Nonspecified transport,LPG,15_06_nonspecified_transport,,07_09_lpg,15.06 Non-specified transport,07.09 LPG,Explicit override for shifted transport rows; do not infer from generic labels.,TRUE
Nonspecified transport,Motor gasoline,15_06_nonspecified_transport,,07_01_motor_gasoline,15.06 Non-specified transport,07.01 Motor gasoline,Explicit override for shifted transport rows; do not infer from generic labels.,TRUE
elecgen_inputs,Coal Bituminous,09_01_electricity_plants,,01_x_thermal_coal,09.01.01 Electricity plants,01.02 Other bituminous coal,Explicit aggregate override for power coal inputs across child coal power mappings.,TRUE
elecgen_inputs,Coal Bituminous,09_01_electricity_plants,,01_x_thermal_coal,09.01.01 Electricity plants,01.03 Sub-bituminous coal,Explicit aggregate override for power coal inputs across child coal power mappings.,TRUE
elecgen_inputs,Coal Bituminous,09_01_electricity_plants,,01_x_thermal_coal,09.01.01 Electricity plants,01.04 Anthracite,Explicit aggregate override for power coal inputs across child coal power mappings.,TRUE
elecgen_inputs,Coal Bituminous,09_01_electricity_plants,,01_05_lignite,09.01.01 Electricity plants,01.05 Lignite,Explicit aggregate override for power coal inputs across child coal power mappings.,TRUE
elecgen_inputs,Biomass,09_01_electricity_plants,,15_solid_biomass_unallocated,09.01.01 Electricity plants,15 Solid biomass,Explicit aggregate override for power biomass inputs across child biomass power mappings.,TRUE
elecgen_inputs,Biomass,09_01_electricity_plants,,15_05_other_biomass,09.01.01 Electricity plants,15 Solid biomass,Explicit aggregate override for power biomass inputs across child biomass power mappings.,TRUE
elecgen_inputs,Solar,09_01_electricity_plants,,12_01_of_which_photovoltaics,09.01.01 Electricity plants,12 Solar,Explicit aggregate override for power solar inputs across child solar power mappings.,TRUE
elecgen_inputs,Solar,09_01_electricity_plants,,12_x_other_solar,09.01.01 Electricity plants,12 Solar,Explicit aggregate override for power solar inputs across child solar power mappings.,TRUE
elecgen_out_feed,Biomass,18_01_electricity_plants,18_01_06_biomass,15_solid_biomass_unallocated,18.01 MAP electricity plants,15 Solid biomass,Explicit aggregate override for power biomass outputs-by-feedstock across biomass generation mappings.,TRUE
elecgen_out_feed,Biomass,18_01_electricity_plants,18_01_06_biomass,15_05_other_biomass,18.01 MAP electricity plants,15.05 Other biomass,Explicit aggregate override for power biomass outputs-by-feedstock across biomass generation mappings.,TRUE
elecgen_out_feed,Coal Bituminous,18_01_electricity_plants,18_01_01_coal_power,01_x_thermal_coal,18.01 MAP electricity plants,01.02 Other bituminous coal,Explicit aggregate override for power coal outputs-by-feedstock across coal generation mappings.,TRUE
elecgen_out_feed,Coal Bituminous,18_01_electricity_plants,18_01_01_coal_power,01_x_thermal_coal,18.01 MAP electricity plants,01.03 Sub-bituminous coal,Explicit aggregate override for power coal outputs-by-feedstock across coal generation mappings.,TRUE
elecgen_out_feed,Coal Bituminous,18_01_electricity_plants,18_01_01_coal_power,01_x_thermal_coal,18.01 MAP electricity plants,01.04 Anthracite,Explicit aggregate override for power coal outputs-by-feedstock across coal generation mappings.,TRUE
elecgen_out_feed,Solar,18_01_electricity_plants,18_01_08_solar,12_01_of_which_photovoltaics,18.01 MAP electricity plants,12.01 of which: Photovoltaics,Explicit aggregate override for power solar outputs-by-feedstock across solar generation mappings.,TRUE
elecgen_out_feed,Solar,18_01_electricity_plants,18_01_08_solar,12_x_other_solar,18.01 MAP electricity plants,12.99 Solar nonspecified,Explicit aggregate override for power solar outputs-by-feedstock across solar generation mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_02_01_coal,01_x_thermal_coal,09.01.02 CHP plants,01.02 Other bituminous coal,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_02_01_coal,01_x_thermal_coal,09.01.02 CHP plants,01.03 Sub-bituminous coal,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_02_01_coal,01_x_thermal_coal,09.01.02 CHP plants,01.04 Anthracite,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_x_01_coal,01_x_thermal_coal,09.01.03 Heat plants,01.02 Other bituminous coal,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_x_01_coal,01_x_thermal_coal,09.01.03 Heat plants,01.03 Sub-bituminous coal,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_inputs,Coal Bituminous,09_02_chp_plants | 09_x_heat_plants,09_x_01_coal,01_x_thermal_coal,09.01.03 Heat plants,01.04 Anthracite,Explicit aggregate override for transformation heat coal inputs across CHP and heat plant mappings.,TRUE
heat_out_feed,Coal Bituminous,18_02_chp_plants,18_02_01_coal,01_x_thermal_coal,18.02 MAP CHP plants,01.02 Other bituminous coal,Explicit aggregate override for transformation heat coal outputs-by-feedstock across CHP mappings.,TRUE
heat_out_feed,Coal Bituminous,18_02_chp_plants,18_02_01_coal,01_x_thermal_coal,18.02 MAP CHP plants,01.03 Sub-bituminous coal,Explicit aggregate override for transformation heat coal outputs-by-feedstock across CHP mappings.,TRUE
