sheet,fuel_label,scenario,leap_2022,base_2022,gap_base,abs_gap_base,ratio_base_to_leap,leap_2030,projection_2030,gap_projection,abs_gap_projection,ratio_projection_to_leap,leap_year_points,projection_year_points,projection_missing_year_points,diagnostic_flag
esto__01__Production,Coal nonspecified,Target,40.24427130680856,,,,,38.11970448157084,,,,,38.0,0.0,38.0,missing_projection_points
esto__01__Production,Other bituminous coal,Target,294.97787629917815,,,,,2981.28500256444,,,,,38.0,0.0,38.0,missing_projection_points
esto__01__Production,Sub-bituminous coal,Target,5253.014522738434,,,,,4910.713333991526,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Bitumen,Target,,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Coal tar,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Coke oven coke,Target,181.0124169998592,,,,,4.43850619113348,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Electricity,Target,4317.452558393169,,,,,1019.8772836668348,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Gas coke,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Geothermal,Target,277.1568963055577,,,,,37.352230912127375,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Hydro,Target,108.2357188659991,,,,,42.24163766936695,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Industrial waste,Target,5.004190541381777,,,,,10.622079171397582,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Kerosene type jet fuel,Target,3194.4379327619818,,,,,3539.9730148201375,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Lubricants,Target,0.3785355271283914,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Other products,Target,0.3785355271283914,,,,,0.5072760138312571,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Other recovered gases,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Paraffin waxes,Target,0.3785355271283914,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Patent fuel,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Petroleum coke,Target,0.3785355271283914,,,,,2.127480401995617,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Refinery feedstocks,Target,,,,,,860.5143231452914,,,,,38.0,0.0,38.0,missing_projection_points
esto__02__Imports,Solar nonspecified,Target,147.90233033320143,,,,,279.8678546115829,,,,,38.0,0.0,38.0,missing_projection_points
esto__03__Exports,Refinery feedstocks,Target,,,,,,-860.5143231452914,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Bitumen,Target,,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Coal tar,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Coke oven coke,Target,181.0124169998592,,,,,4.43850619113348,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Gas coke,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Industrial waste,Target,5.004190541381777,,,,,10.622079171397582,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Kerosene type jet fuel,Target,3194.4379327619818,,,,,3539.9730148201375,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Lubricants,Target,0.3785355271283914,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Other bituminous coal,Target,3599.291678319993,,,,,2981.28500256444,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Other products,Target,0.3785355271283914,,,,,0.5072760138312571,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Other recovered gases,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Paraffin waxes,Target,0.3785355271283914,,,,,0.3367281834981666,,,,,38.0,0.0,38.0,missing_projection_points
esto__07__Total_primary_energy_supply,Patent fuel,Target,2.021723335095423,,,,,1.9339503545455947,,,,,38.0,0.0,38.0,missing_projection_points
