dashboard_path,node_esto_flow,graph_id,measure,selection_mode,available_esto_products,products_selected,excluded_products,available_not_shown
Buildings > Commercial and public services,16.01 Commercial and public services,graph_1,Energy balance (PJ),all,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 07.01 Motor gasoline; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 12.99 Solar nonspecified; 15.05 Other biomass; 16.01 Biogas; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.06 Biodiesel; 17 Electricity; 18 Heat,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 07.01 Motor gasoline; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 12.99 Solar nonspecified; 15.05 Other biomass; 16.01 Biogas; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.06 Biodiesel; 17 Electricity; 18 Heat,,
Buildings > Datacentres,16.01.01 Datacentres,graph_1,Energy balance (PJ),all,,,,
Buildings > Residential,16.02 Residential,graph_1,Energy balance (PJ),all,07.06 Kerosene; 07.07 Gas/diesel oil; 07.09 LPG; 11 Geothermal; 12.99 Solar nonspecified; 15.05 Other biomass; 16.06 Biodiesel; 17 Electricity,07.06 Kerosene; 07.07 Gas/diesel oil; 07.09 LPG; 11 Geothermal; 12.99 Solar nonspecified; 15.05 Other biomass; 16.06 Biodiesel; 17 Electricity,,
Bunkers > International aviation bunkers,05 International aviation bunkers,graph_1,Energy balance (PJ),all,07.01 Motor gasoline; 07.02 Aviation gasoline; 07.05 Kerosene type jet fuel; 16.12 Hydrogen,07.01 Motor gasoline; 07.02 Aviation gasoline; 07.05 Kerosene type jet fuel; 16.12 Hydrogen,,
Bunkers > International marine bunkers,04 International marine bunkers,graph_1,Energy balance (PJ),all,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 08.02 LNG,07.01 Motor gasoline; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 08.02 LNG,,
Industry > Construction,14.02 Construction,graph_1,Energy balance (PJ),all,07.07 Gas/diesel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity,07.07 Gas/diesel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity,,
Industry > Manufacturing > Chemical (incl. petrochemical),14.03.02 Chemical (incl. petrochemical),graph_1,Energy balance (PJ),all,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.05 Lignite; 01.99 Coal nonspecified; 07.02 Aviation gasoline; 07.03 Naphtha; 07.04 Gasoline type jet fuel; 07.05 Kerosene type jet fuel; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 07.10 Refinery gas (not liquefied); 07.11 Ethane; 07.12 White spirit SBP; 07.13 Lubricants; 07.14 Bitumen; 07.15 Paraffin waxes; 07.16 Petroleum coke; 07.17 Other products; 07.99 PetProd nonspecified; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.05 Lignite; 01.99 Coal nonspecified; 07.02 Aviation gasoline; 07.03 Naphtha; 07.04 Gasoline type jet fuel; 07.05 Kerosene type jet fuel; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 07.10 Refinery gas (not liquefied); 07.11 Ethane; 07.12 White spirit SBP; 07.13 Lubricants; 07.14 Bitumen; 07.15 Paraffin waxes; 07.16 Petroleum coke; 07.17 Other products; 07.99 PetProd nonspecified; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,,
"Industry > Manufacturing > Food, beverages and tobacco","14.03.07 Food, beverages and tobacco",graph_1,Energy balance (PJ),all,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.05 Lignite; 01.99 Coal nonspecified; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.05 Lignite; 01.99 Coal nonspecified; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,,
Industry > Manufacturing > Iron and steel,14.03.01 Iron and steel,graph_1,Energy balance (PJ),all,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.99 Coal nonspecified; 02.01 Coke oven coke; 02.02 Gas coke; 02.03 Coke oven gas; 02.04 Blast furnace gas; 02.05 Other recovered gases; 02.06 Patent fuel; 02.07 Coal tar; 02.08 BKB/PB; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 16.12 Hydrogen; 17 Electricity; 18 Heat,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.99 Coal nonspecified; 02.01 Coke oven coke; 02.02 Gas coke; 02.03 Coke oven gas; 02.04 Blast furnace gas; 02.05 Other recovered gases; 02.06 Patent fuel; 02.07 Coal tar; 02.08 BKB/PB; 07.07 Gas/diesel oil; 07.08 Fuel oil; 07.09 LPG; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 16.12 Hydrogen; 17 Electricity; 18 Heat,,
Industry > Manufacturing > Machinery,14.03.06 Machinery,graph_1,Energy balance (PJ),all,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.99 Coal nonspecified; 07.02 Aviation gasoline; 07.03 Naphtha; 07.04 Gasoline type jet fuel; 07.05 Kerosene type jet fuel; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.09 LPG; 07.10 Refinery gas (not liquefied); 07.11 Ethane; 07.12 White spirit SBP; 07.13 Lubricants; 07.14 Bitumen; 07.15 Paraffin waxes; 07.16 Petroleum coke; 07.17 Other products; 07.99 PetProd nonspecified; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,01.02 Other bituminous coal; 01.03 Sub-bituminous coal; 01.04 Anthracite; 01.99 Coal nonspecified; 07.02 Aviation gasoline; 07.03 Naphtha; 07.04 Gasoline type jet fuel; 07.05 Kerosene type jet fuel; 07.06 Kerosene; 07.07 Gas/diesel oil; 07.09 LPG; 07.10 Refinery gas (not liquefied); 07.11 Ethane; 07.12 White spirit SBP; 07.13 Lubricants; 07.14 Bitumen; 07.15 Paraffin waxes; 07.16 Petroleum coke; 07.17 Other products; 07.99 PetProd nonspecified; 08.01 Natural gas; 15 Solid biomass; 15.01 Fuelwood & woodwaste; 15.02 Bagasse; 15.03 Charcoal; 15.04 Black liqour; 15.05 Other biomass; 16 Others; 16.01 Biogas; 16.02 Industrial waste; 16.03 Municipal solid waste (renewable); 16.04 Municipal solid waste (non-renewable); 16.05 Biogasoline; 16.06 Biodiesel; 16.07 Bio jet kerosene; 16.08 Other liquid biofuels; 16.09 Other sources; 17 Electricity; 18 Heat,,
