dataset,check,severity,scenario,year,leap_sector,leap_fuel,ninth_sector,ninth_fuel,esto_flow,esto_product,row_count,source_key_count,esto_pair_count,distinct_value_count,value_pj_sum,value_pj_min,value_pj_max,esto_pairs,source_keys,note
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,01_production,01_x_thermal_coal,01 Production,01.02 Other bituminous coal|01.03 Sub-bituminous coal|01.04 Anthracite|01.99 Coal nonspecified,4,1,4,1,9634.558799,9634.558799,9634.558799,01 Production | 01.02 Other bituminous coal|01 Production | 01.03 Sub-bituminous coal|01 Production | 01.04 Anthracite|01 Production | 01.99 Coal nonspecified,01_production | 01_x_thermal_coal,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,01_production,02_coal_products,01 Production,02.01 Coke oven coke|02.02 Gas coke,2,1,2,1,0.0,0.0,0.0,01 Production | 02.01 Coke oven coke|01 Production | 02.02 Gas coke,01_production | 02_coal_products,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,01_production,16_02_industrial_waste,01 Production,02.03 Coke oven gas|02.04 Blast furnace gas|02.05 Other recovered gases|16.02 Industrial waste,4,1,4,1,15.085094833,15.085094833,15.085094833,01 Production | 02.03 Coke oven gas|01 Production | 02.04 Blast furnace gas|01 Production | 02.05 Other recovered gases|01 Production | 16.02 Industrial waste,01_production | 16_02_industrial_waste,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,01_x_thermal_coal,02 Imports,01.02 Other bituminous coal|01.03 Sub-bituminous coal|01.04 Anthracite,3,1,3,1,84.4562268,84.4562268,84.4562268,02 Imports | 01.02 Other bituminous coal|02 Imports | 01.03 Sub-bituminous coal|02 Imports | 01.04 Anthracite,02_imports | 01_x_thermal_coal,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,02_coal_products,02 Imports,02.01 Coke oven coke|02.02 Gas coke|02.06 Patent fuel|02.07 Coal tar|02.08 BKB/PB|07.16 Petroleum coke,6,1,6,1,0.0,0.0,0.0,02 Imports | 02.01 Coke oven coke|02 Imports | 02.02 Gas coke|02 Imports | 02.06 Patent fuel|02 Imports | 02.07 Coal tar|02 Imports | 02.08 BKB/PB|02 Imports | 07.16 Petroleum coke,02_imports | 02_coal_products,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,16_02_industrial_waste,02 Imports,02.03 Coke oven gas|02.05 Other recovered gases|16.02 Industrial waste,3,1,3,1,0.0,0.0,0.0,02 Imports | 02.03 Coke oven gas|02 Imports | 02.05 Other recovered gases|02 Imports | 16.02 Industrial waste,02_imports | 16_02_industrial_waste,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,06_x_other_hydrocarbons,02 Imports,06.03 Refinery feedstocks|06.05 Other hydrocarbons,2,1,2,1,1305.0,1305.0,1305.0,02 Imports | 06.03 Refinery feedstocks|02 Imports | 06.05 Other hydrocarbons,02_imports | 06_x_other_hydrocarbons,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,07_x_other_petroleum_products,02 Imports,06.04 Additives/ oxygenates|07.13 Lubricants|07.14 Bitumen|07.15 Paraffin waxes|07.17 Other products,5,1,5,1,0.0,0.0,0.0,02 Imports | 06.04 Additives/ oxygenates|02 Imports | 07.13 Lubricants|02 Imports | 07.14 Bitumen|02 Imports | 07.15 Paraffin waxes|02 Imports | 07.17 Other products,02_imports | 07_x_other_petroleum_products,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,07_03_naphtha,02 Imports,07.03 Naphtha|07.12 White spirit SBP,2,1,2,1,62.35713995396722,62.35713995396722,62.35713995396722,02 Imports | 07.03 Naphtha|02 Imports | 07.12 White spirit SBP,02_imports | 07_03_naphtha,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,02_imports,07_x_jet_fuel,02 Imports,07.04 Gasoline type jet fuel|07.05 Kerosene type jet fuel,2,1,2,1,0.0,0.0,0.0,02 Imports | 07.04 Gasoline type jet fuel|02 Imports | 07.05 Kerosene type jet fuel,02_imports | 07_x_jet_fuel,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,,,02 Imports|03 Exports|07 Total primary energy supply|09.01.01 Electricity plants|09.02.01 Electricity plants|09.01.02 CHP plants|09.02.02 CHP plants|09.06.03 Natural gas blending plants|09.07 Oil refineries|09.08.01 Coke ovens|09.08.02 Blast furnaces|10.01.11 Oil refineries|15.02 Road,01.01 Coking coal|01.02 Other bituminous coal|02.01 Coke oven coke|02.03 Coke oven gas|02.04 Blast furnace gas|07.05 Kerosene type jet fuel|07.08 Fuel oil|07.13 Lubricants|07.14 Bitumen|07.15 Paraffin  waxes|07.16 Petroleum coke|07.17 Other products|08.01 Natural gas|08.03 Gas works gas|16.01 Biogas|16.02 Industrial waste|16.03 Municipal solid waste (renewable)|16.04 Municipal solid waste (non-renewable)|16.06 Biodiesel|16.08 Other liquid biofuels|17 Electricity|18 Heat,32,1,32,0,0.0,,,02 Imports | 07.15 Paraffin  waxes|03 Exports | 07.15 Paraffin  waxes|07 Total primary energy supply | 07.15 Paraffin  waxes|09.01.01 Electricity plants|09.02.01 Electricity plants | 07.05 Kerosene type jet fuel|09.01.02 CHP plants|09.02.02 CHP plants | 16.01 Biogas|09.01.02 CHP plants|09.02.02 CHP plants | 16.02 Industrial waste|09.01.02 CHP plants|09.02.02 CHP plants | 16.03 Municipal solid waste (renewable)|09.01.02 CHP plants|09.02.02 CHP plants | 16.04 Municipal solid waste (non-renewable)|09.01.02 CHP plants|09.02.02 CHP plants | 16.06 Biodiesel|09.01.02 CHP plants|09.02.02 CHP plants | 16.08 Other liquid biofuels|09.06.03 Natural gas blending plants | 08.01 Natural gas|09.06.03 Natural gas blending plants | 08.03 Gas works gas|09.06.03 Natural gas blending plants | 16.01 Biogas|09.07 Oil refineries | 07.16 Petroleum coke|09.08.01 Coke ovens | 01.01 Coking coal|09.08.01 Coke ovens | 02.01 Coke oven coke|09.08.01 Coke ovens | 02.03 Coke oven gas|09.08.01 Coke ovens | 02.04 Blast furnace gas|09.08.01 Coke ovens | 17 Electricity|09.08.02 Blast furnaces | 01.02 Other bituminous coal|09.08.02 Blast furnaces | 02.01 Coke oven coke|09.08.02 Blast furnaces | 02.03 Coke oven gas|09.08.02 Blast furnaces | 02.04 Blast furnace gas|09.08.02 Blast furnaces | 07.08 Fuel oil|09.08.02 Blast furnaces | 08.01 Natural gas|09.08.02 Blast furnaces | 17 Electricity|10.01.11 Oil refineries | 07.13 Lubricants|10.01.11 Oil refineries | 07.14 Bitumen|10.01.11 Oil refineries | 07.16 Petroleum coke|10.01.11 Oil refineries | 07.17 Other products|10.01.11 Oil refineries | 18 Heat|15.02 Road | 16.01 Biogas, | ,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,01_x_thermal_coal,03 Exports,01.02 Other bituminous coal|01.03 Sub-bituminous coal|01.04 Anthracite,3,1,3,1,-1344.590526,-1344.590526,-1344.590526,03 Exports | 01.02 Other bituminous coal|03 Exports | 01.03 Sub-bituminous coal|03 Exports | 01.04 Anthracite,03_exports | 01_x_thermal_coal,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,02_coal_products,03 Exports,02.01 Coke oven coke|02.08 BKB/PB|07.16 Petroleum coke,3,1,3,1,0.0,0.0,0.0,03 Exports | 02.01 Coke oven coke|03 Exports | 02.08 BKB/PB|03 Exports | 07.16 Petroleum coke,03_exports | 02_coal_products,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,16_02_industrial_waste,03 Exports,02.03 Coke oven gas|02.04 Blast furnace gas|16.02 Industrial waste,3,1,3,1,0.0,0.0,0.0,03 Exports | 02.03 Coke oven gas|03 Exports | 02.04 Blast furnace gas|03 Exports | 16.02 Industrial waste,03_exports | 16_02_industrial_waste,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,06_x_other_hydrocarbons,03 Exports,06.03 Refinery feedstocks|06.05 Other hydrocarbons,2,1,2,1,-786.6460092,-786.6460092,-786.6460092,03 Exports | 06.03 Refinery feedstocks|03 Exports | 06.05 Other hydrocarbons,03_exports | 06_x_other_hydrocarbons,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,07_x_other_petroleum_products,03 Exports,06.04 Additives/ oxygenates|07.13 Lubricants|07.14 Bitumen|07.15 Paraffin waxes|07.17 Other products,5,1,5,1,-1065.7042797609229,-1065.7042797609229,-1065.7042797609229,03 Exports | 06.04 Additives/ oxygenates|03 Exports | 07.13 Lubricants|03 Exports | 07.14 Bitumen|03 Exports | 07.15 Paraffin waxes|03 Exports | 07.17 Other products,03_exports | 07_x_other_petroleum_products,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,03_exports,07_x_jet_fuel,03 Exports,07.04 Gasoline type jet fuel|07.05 Kerosene type jet fuel,2,1,2,1,-130.64267245151996,-130.64267245151996,-130.64267245151996,03 Exports | 07.04 Gasoline type jet fuel|03 Exports | 07.05 Kerosene type jet fuel,03_exports | 07_x_jet_fuel,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
9th,source_maps_to_multiple_esto_pairs,warning,Target,2023,,,07_total_primary_energy_supply,01_x_thermal_coal,07 Total primary energy supply,01.02 Other bituminous coal|01.03 Sub-bituminous coal|01.04 Anthracite,3,1,3,1,8374.4244998,8374.4244998,8374.4244998,07 Total primary energy supply | 01.02 Other bituminous coal|07 Total primary energy supply | 01.03 Sub-bituminous coal|07 Total primary energy supply | 01.04 Anthracite,07_total_primary_energy_supply | 01_x_thermal_coal,"One source key fans out to multiple ESTO categories. This may be valid one-to-many mapping, but repeated values can indicate faulty mapping."
