sheet,rows,fully_mapped,partially_mapped,any_mapping,base_mapping_complete,projection_mapping_complete,missing_ninth_fuel,missing_esto_flow,missing_esto_product,with_mapping_notes
esto__10_01_17__Non-specified_own_uses,1,1,0,1,1,1,0,0,0,1
esto__15_05__Pipeline_transport,1,1,0,1,1,1,0,0,0,0
esto__16_01_01__Datacentres,1,1,0,1,1,1,0,0,0,0
esto__16_05__Non-specified_others,1,1,0,1,1,1,0,0,0,0
esto__09_06_03__Natural_gas_blending_plants,3,2,0,2,3,2,3,0,0,3
template__Power__Electricity_own_use,4,2,0,2,4,2,2,0,0,4
esto__09_06_01__Gas_works_plants,2,2,0,2,2,2,0,0,0,0
esto__10_02__Transmission_and_distribution_losses,2,2,0,2,2,2,0,0,0,1
esto__09_06_02__Liquefaction_regasification_plants,3,3,0,3,3,3,0,0,0,0
esto__15_03__Rail,3,3,0,3,3,3,0,0,0,0
esto__09_01_02__CHP_plants,4,4,0,4,4,4,0,0,0,0
esto__09_02_02__CHP_plants,4,4,0,4,4,4,0,0,0,0
esto__09_13_01__Electrolysers,4,4,0,4,4,4,0,0,0,0
esto__09_13_03__SMR_w_CCS,4,4,0,4,4,4,0,0,0,0
esto__09_13__Hydrogen_transformation,4,4,0,4,4,4,0,0,0,0
template__Other_transformation__Gas_processing_plants__Gas_processing_own_use,4,4,0,4,4,4,0,0,0,4
esto__05__International_aviation_bunkers,5,5,0,5,5,5,0,0,0,1
esto__09_06__Gas_processing_plants,5,5,0,5,5,5,0,0,0,0
esto__15_01__Domestic_air_transport,6,6,0,6,6,6,0,0,0,0
esto__09_08_02__Blast_furnaces,7,7,0,7,7,7,7,0,0,7
esto__14_03_10__Textiles_and_leather,7,7,0,7,7,7,0,0,0,0
esto__04__International_marine_bunkers,8,8,0,8,8,8,0,0,0,1
esto__15_04__Domestic_navigation,8,8,0,8,8,8,0,0,0,0
esto__16_02__Residential,9,9,0,9,9,9,0,0,0,0
esto__16_03__Agriculture,9,9,0,9,9,9,0,0,0,0
esto__09_08_01__Coke_ovens,10,10,0,10,10,10,10,0,0,10
esto__09_12__Non-specified_transformation,10,10,0,10,10,10,0,0,0,0
esto__09_08__Coal_transformation,12,12,0,12,12,12,0,0,0,0
esto__10_01_11__Oil_refineries,19,14,0,14,19,14,5,0,0,19
template__Other_transformation__Coal__oil_and_gas_extraction_own_use,16,14,0,14,16,14,2,0,0,16
esto__15__Transport_sector,15,15,0,15,15,15,0,0,0,0
esto__08__Transfers,16,16,0,16,16,16,0,0,0,7
esto__16_01__Commercial_and_public_services,17,17,0,17,17,17,0,0,0,0
esto__14_02__Construction,18,18,0,18,18,18,0,0,0,0
esto__14_01__Mining_and_quarrying,19,19,0,19,19,19,0,0,0,0
esto__14_03_05__Transportation_equipment,20,20,0,20,20,20,0,0,0,0
esto__14_03_09__Wood_and_wood_products,20,20,0,20,20,20,0,0,0,0
esto__09_07__Oil_refineries,22,21,0,21,22,21,1,0,0,11
template__Other_transformation__Coal_transformation__Coal_transformation_own_use,24,23,0,23,24,23,1,0,0,24
esto__09_01_01__Electricity_plants,24,24,0,24,24,24,0,0,0,0
esto__09_02_01__Electricity_plants,24,24,0,24,24,24,0,0,0,0
esto__14_03_07__Food__beverages_and_tobacco,26,26,0,26,26,26,0,0,0,1
esto__14_03_03__Non_ferrous_metals,33,33,0,33,33,33,0,0,0,0
esto__14_03_01__Iron_and_steel,34,34,0,34,34,34,0,0,0,2
esto__14_03_06__Machinery,37,37,0,37,37,37,0,0,0,0
esto__01__Production,38,38,0,38,38,38,0,0,0,5
esto__14_03_04__Non-metallic_mineral_products,38,38,0,38,38,38,0,0,0,0
esto__14_03_08__Pulp__paper_and_printing,38,38,0,38,38,38,0,0,0,0
esto__14_03_02__Chemical__incl__petrochemical,41,41,0,41,41,41,0,0,0,2
esto__03__Exports,45,44,0,44,45,44,1,0,0,8
esto__14_03_11__Non-specified_industry,45,45,0,45,45,45,0,0,0,0
esto__09__Total_transformation_sector,47,47,0,47,47,47,0,0,0,0
esto__14_03__Manufacturing,47,47,0,47,47,47,0,0,0,0
esto__14__Industry_sector,48,48,0,48,48,48,0,0,0,0
template__Power__CHP_plants,68,49,0,49,68,49,19,0,0,68
esto__13__Total_final_energy_consumption,54,54,0,54,54,54,0,0,0,0
esto__02__Imports,61,60,0,60,61,60,1,0,0,4
esto__07__Total_primary_energy_supply,64,63,0,63,64,63,1,0,0,3
esto__15_02__Road,66,65,0,65,66,65,1,0,0,58
template__Power__Electricity_plants,90,88,0,88,90,88,2,0,0,90
