economy,scenario,region,sheet_name,sector_code_9th,sector_name,fuel_label,year,leap_value,leap_variable,leap_units,measure,leap_scale_note,ninth_fuel_code,esto_flow,esto_product,source_sheet,source_workbook,leap_sector,leap_fuel,leap_sector_name,leap_fuel_name
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bagasse,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,15_02_bagasse,14.03.05 Transportation equipment,15.02 Bagasse,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,15_02_bagasse,Transportation equipment,Bagasse
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bagasse,2023,0.0007146257459800243,Energy Balance,Petajoule,Energy balance (PJ),,15_02_bagasse,14.03.05 Transportation equipment,15.02 Bagasse,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,15_02_bagasse,Transportation equipment,Bagasse
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bagasse,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,15_02_bagasse,14.03.05 Transportation equipment,15.02 Bagasse,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,15_02_bagasse,Transportation equipment,Bagasse
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bagasse,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,15_02_bagasse,14.03.05 Transportation equipment,15.02 Bagasse,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,15_02_bagasse,Transportation equipment,Bagasse
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bio jet kerosene,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_07_bio_jet_kerosene,14.03.05 Transportation equipment,16.07 Bio jet kerosene,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_07_bio_jet_kerosene,Transportation equipment,Bio jet kerosene
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bio jet kerosene,2023,0.0007146257459800243,Energy Balance,Petajoule,Energy balance (PJ),,16_07_bio_jet_kerosene,14.03.05 Transportation equipment,16.07 Bio jet kerosene,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_07_bio_jet_kerosene,Transportation equipment,Bio jet kerosene
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bio jet kerosene,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_07_bio_jet_kerosene,14.03.05 Transportation equipment,16.07 Bio jet kerosene,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_07_bio_jet_kerosene,Transportation equipment,Bio jet kerosene
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Bio jet kerosene,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,16_07_bio_jet_kerosene,14.03.05 Transportation equipment,16.07 Bio jet kerosene,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_07_bio_jet_kerosene,Transportation equipment,Bio jet kerosene
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biodiesel,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_06_biodiesel,14.03.05 Transportation equipment,16.06 Biodiesel,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_06_biodiesel,Transportation equipment,Biodiesel
20_USA,Reference,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biodiesel,2023,0.0007146257459800243,Energy Balance,Petajoule,Energy balance (PJ),,16_06_biodiesel,14.03.05 Transportation equipment,16.06 Biodiesel,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 REF.xlsx,14_03_05_transportation_equipment,16_06_biodiesel,Transportation equipment,Biodiesel
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biodiesel,2022,0.0007082888362995707,Energy Balance,Petajoule,Energy balance (PJ),,16_06_biodiesel,14.03.05 Transportation equipment,16.06 Biodiesel,EBal|2022,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_06_biodiesel,Transportation equipment,Biodiesel
20_USA,Target,,esto__Transportation_equipment,14_03_05_transportation_equipment,Transportation equipment,Biodiesel,2023,0.0007146257461788552,Energy Balance,Petajoule,Energy balance (PJ),,16_06_biodiesel,14.03.05 Transportation equipment,16.06 Biodiesel,EBal|2023,/mnt/c/Users/Work/github/leap_utilities/data/leap balances exports/20_USA/full model output all years 492026 TGT.xlsx,14_03_05_transportation_equipment,16_06_biodiesel,Transportation equipment,Biodiesel
