reason,details,scenario,year,source_sheet,leap_sector_name_full_path,leap_flow,leap_flow_name,leap_product,leap_product_name,mapping_failed,mapping_key_sector,mapping_key_fuel,mapping_candidate_rule,esto_flow,esto_product,value_petajoule
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Production,,Production,,Biomass,,Production,Biomass,,,,130.70392712793912
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Imports,,Imports,,Coal Bituminous DO NOT USE,,Imports,Coal Bituminous DO NOT USE,,,,1730.6482380573125
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Imports,,Imports,,Municipal solid waste non and renewable DO NOT USE,,Imports,Municipal solid waste non and renewable DO NOT USE,,,,85.31666067927084
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Primary Supply,,Total Primary Supply,,Coal Bituminous DO NOT USE,,Total Primary Supply,Coal Bituminous DO NOT USE,,,,1730.6482380573125
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Primary Supply,,Total Primary Supply,,Biomass,,Total Primary Supply,Biomass,,,,130.70392712793912
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Primary Supply,,Total Primary Supply,,Municipal solid waste non and renewable DO NOT USE,,Total Primary Supply,Municipal solid waste non and renewable DO NOT USE,,,,85.31666067927084
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Oil Refining/Oil Refining,09_07_oil_refineries,Oil Refining/Oil Refining,17_electricity,Electricity,,Oil Refining/Oil Refining,Electricity,,,,-145.50890466431738
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Oil Refining/Oil Refining,09_07_oil_refineries,Oil Refining/Oil Refining,08_01_natural_gas,Natural gas,,Oil Refining/Oil Refining,Natural gas,,,,-756.4246097070255
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Electricity Generation/Others,,Electricity Generation/Others,,Municipal solid waste non and renewable DO NOT USE,,Electricity Generation/Others,Municipal solid waste non and renewable DO NOT USE,,,,-85.31666067927084
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Electricity Generation/Others,,Electricity Generation/Others,,Total,,Electricity Generation/Others,Total,,,,-145.9241685319084
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Electricity Generation/Solid biomass,,Electricity Generation/Solid biomass,,Biomass,,Electricity Generation/Solid biomass,Biomass,,,,-130.70392712793912
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Electricity Generation/Coal,,Electricity Generation/Coal,,Coal Bituminous DO NOT USE,,Electricity Generation/Coal,Coal Bituminous DO NOT USE,,,,-1730.6482380573125
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Transformation,,Total Transformation,,Coal Bituminous DO NOT USE,,Total Transformation,Coal Bituminous DO NOT USE,,,,-1730.6482380573125
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Transformation,,Total Transformation,,Biomass,,Total Transformation,Biomass,,,,-130.70392712793912
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Total Transformation,,Total Transformation,,Municipal solid waste non and renewable DO NOT USE,,Total Transformation,Municipal solid waste non and renewable DO NOT USE,,,,-85.31666067927084
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Fuel oil,,Industry/Mining and quarrying/Fuel oil,,Fuel oil,,Industry/Mining and quarrying/Fuel oil,Fuel oil,,,,25.46030502199773
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Fuel oil,,Industry/Mining and quarrying/Fuel oil,,Total,,Industry/Mining and quarrying/Fuel oil,Total,,,,25.46030502199773
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Natural gas,,Industry/Mining and quarrying/Natural gas,,Natural gas,,Industry/Mining and quarrying/Natural gas,Natural gas,,,,96.89400429767565
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Natural gas,,Industry/Mining and quarrying/Natural gas,,Total,,Industry/Mining and quarrying/Natural gas,Total,,,,96.89400429767565
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Electricity,,Industry/Mining and quarrying/Electricity,,Electricity,,Industry/Mining and quarrying/Electricity,Electricity,,,,317.10365342515354
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Electricity,,Industry/Mining and quarrying/Electricity,,Total,,Industry/Mining and quarrying/Electricity,Total,,,,317.10365342515354
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Gas and diesel oil,,Industry/Mining and quarrying/Gas and diesel oil,,Gas and diesel oil,,Industry/Mining and quarrying/Gas and diesel oil,Gas and diesel oil,,,,51.45329923394423
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Gas and diesel oil,,Industry/Mining and quarrying/Gas and diesel oil,,Total,,Industry/Mining and quarrying/Gas and diesel oil,Total,,,,51.45329923394423
missing_esto_pair,No explicit LEAP-to-ESTO pair mapping was found.,Reference,2060,EBal|2060,Industry/Mining and quarrying/Motor gasoline,,Industry/Mining and quarrying/Motor gasoline,,Motor gasoline,,Industry/Mining and quarrying/Motor gasoline,Motor gasoline,,,,5.943197220447141
