dashboard_path,sheet,measure,fuel,chart_file,esto_flow,esto_product
Buildings,Buildings,Energy balance (PJ),Total,charts/aggregate__Buildings__Energy_balance__PJ__Total.html,,
Bunkers,Bunkers,Energy balance (PJ),Total,charts/aggregate__Bunkers__Energy_balance__PJ__Total.html,,
Industry,Industry,Energy balance (PJ),Total,charts/aggregate__Industry_sector__Energy_balance__PJ__Total.html,,
Industry > Manufacturing,Manufacturing,Energy balance (PJ),Total,charts/aggregate__Industry_sector__Manufacturing__Energy_balance__PJ__Total.html,,
Other transformation and transfers > Demand > Total final energy consumption,Total final energy consumption,Energy balance (PJ),Total,charts/aggregate__Other_transformation_and_transfers__Demand__Total_final_energy_consumption__Energy_balance__PJ__Total.html,,
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Anthracite,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Anthracite.html,13 Total final energy consumption,01.04 Anthracite
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Aviation gasoline,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Aviation_gasoline.html,13 Total final energy consumption,07.02 Aviation gasoline
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),BKB/PB,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__BKB_PB.html,13 Total final energy consumption,02.08 BKB/PB
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Bagasse,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Bagasse.html,13 Total final energy consumption,15.02 Bagasse
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Bio jet kerosene,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Bio_jet_kerosene.html,13 Total final energy consumption,16.07 Bio jet kerosene
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Biodiesel,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Biodiesel.html,13 Total final energy consumption,16.06 Biodiesel
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Biogas,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Biogas.html,13 Total final energy consumption,16.01 Biogas
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Biogasoline,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Biogasoline.html,13 Total final energy consumption,16.05 Biogasoline
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Bitumen,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Bitumen.html,13 Total final energy consumption,07.14 Bitumen
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Black liqour,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Black_liqour.html,13 Total final energy consumption,15.04 Black liqour
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Blast furnace gas,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Blast_furnace_gas.html,13 Total final energy consumption,02.04 Blast furnace gas
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Charcoal,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Charcoal.html,13 Total final energy consumption,15.03 Charcoal
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Coal nonspecified,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Coal_nonspecified.html,13 Total final energy consumption,01.99 Coal nonspecified
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Coal tar,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Coal_tar.html,13 Total final energy consumption,02.07 Coal tar
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Coke oven coke,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Coke_oven_coke.html,13 Total final energy consumption,02.01 Coke oven coke
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Coke oven gas,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Coke_oven_gas.html,13 Total final energy consumption,02.03 Coke oven gas
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),E-fuel,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__E-fuel.html,13 Total final energy consumption,16.11 E-fuel
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Electricity,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Electricity.html,13 Total final energy consumption,17 Electricity
Other transformation and transfers > Demand > Total final energy consumption,esto__13__Total_final_energy_consumption,Energy balance (PJ),Ethane,charts/esto__13__Total_final_energy_consumption__Energy_balance__PJ__Ethane.html,13 Total final energy consumption,07.11 Ethane
