source_sheet,template_flow_count,template_fuel_count,matched_flow_count,matched_fuel_count,missing_flow_names,missing_fuel_names
EBal|2060,646,72,21,2,,
EBal|2059,646,72,21,2,,
EBal|2058,646,72,22,2,,
EBal|2057,646,72,22,2,,
EBal|2056,646,72,22,2,,
EBal|2055,646,72,22,2,,
EBal|2054,646,72,22,2,,
EBal|2053,646,72,22,2,,
EBal|2052,646,72,22,2,,
EBal|2051,646,72,22,2,,
EBal|2050,646,72,22,2,,
EBal|2049,646,72,22,2,,
EBal|2048,646,72,23,2,,
EBal|2047,646,72,23,2,,
EBal|2046,646,72,23,2,,
EBal|2045,646,72,23,2,,
EBal|2044,646,72,24,2,,
EBal|2043,646,72,24,2,,
EBal|2042,646,72,24,2,,
EBal|2041,646,72,24,2,,
EBal|2040,646,72,25,2,,
EBal|2039,646,72,25,2,,
EBal|2038,646,72,25,2,,
EBal|2037,646,72,26,2,,
EBal|2036,646,71,26,2,,
EBal|2035,646,71,26,2,,
EBal|2034,646,71,26,2,,
EBal|2033,646,71,26,2,,
EBal|2032,646,71,26,2,,
EBal|2031,646,71,27,2,,
EBal|2030,646,70,28,3,,
EBal|2029,646,70,28,3,,
EBal|2028,646,70,28,3,,
EBal|2027,646,70,29,3,,
EBal|2026,646,70,29,3,,
EBal|2025,646,70,29,3,,
EBal|2024,646,70,30,3,,
EBal|2023,646,70,33,3,,
EBal|2022,646,67,31,3,,
EBal|2060,217,70,15,4,,
EBal|2059,217,70,15,4,,
EBal|2058,217,70,15,4,,
EBal|2057,217,70,15,5,,
EBal|2056,217,70,15,5,,
EBal|2055,217,70,15,5,,
EBal|2054,217,70,15,5,,
EBal|2053,217,70,15,5,,
EBal|2052,217,70,15,5,,
EBal|2051,217,70,15,5,,
EBal|2050,217,70,15,5,,
EBal|2049,217,70,15,5,,
EBal|2048,217,70,15,5,,
EBal|2047,217,70,16,5,,
EBal|2046,217,70,16,5,,
EBal|2045,217,70,16,5,,
EBal|2044,217,70,16,5,,
EBal|2043,217,70,16,5,,
EBal|2042,217,70,16,5,,
EBal|2041,217,70,16,5,,
EBal|2040,217,70,16,5,,
EBal|2039,217,70,16,5,,
EBal|2038,217,70,16,5,,
EBal|2037,217,70,17,5,,
EBal|2036,217,69,17,5,,
EBal|2035,217,69,17,5,,
EBal|2034,217,69,17,5,,
EBal|2033,217,69,17,5,,
EBal|2032,217,69,17,5,,
EBal|2031,217,69,17,5,,
EBal|2030,217,68,17,5,,
EBal|2029,217,68,18,5,,
EBal|2028,217,68,18,5,,
EBal|2027,217,68,18,5,,
EBal|2026,217,68,18,5,,
EBal|2025,217,68,18,5,,
EBal|2024,217,68,19,6,,
EBal|2023,217,68,20,6,,
EBal|2022,217,65,19,5,,
