source_sheet,year,scenario,units_original,unit_to_petajoule_factor,unit_parse_status,unit_prefix,unit_base
EBal|2060,2060,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2059,2059,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2058,2058,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2057,2057,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2056,2056,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2055,2055,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2054,2054,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2053,2053,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2052,2052,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2051,2051,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2050,2050,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2049,2049,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2048,2048,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2047,2047,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2046,2046,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2045,2045,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2044,2044,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2043,2043,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2042,2042,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2041,2041,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2040,2040,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2039,2039,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2038,2038,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2037,2037,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2036,2036,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2035,2035,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2034,2034,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2033,2033,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2032,2032,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2031,2031,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2030,2030,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2029,2029,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2028,2028,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2027,2027,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2026,2026,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2025,2025,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2024,2024,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2023,2023,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2022,2022,Reference,Petajoule,1.0,parsed,none,petajoule
EBal|2060,2060,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2059,2059,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2058,2058,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2057,2057,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2056,2056,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2055,2055,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2054,2054,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2053,2053,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2052,2052,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2051,2051,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2050,2050,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2049,2049,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2048,2048,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2047,2047,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2046,2046,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2045,2045,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2044,2044,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2043,2043,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2042,2042,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2041,2041,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2040,2040,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2039,2039,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2038,2038,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2037,2037,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2036,2036,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2035,2035,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2034,2034,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2033,2033,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2032,2032,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2031,2031,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2030,2030,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2029,2029,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2028,2028,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2027,2027,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2026,2026,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2025,2025,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2024,2024,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2023,2023,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
EBal|2022,2022,Target,Thousand Petajoule,1000.0,parsed,thousand,petajoule
